sno.,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
380,Eastern,Odisha,Bhubaneswar,Lang-Becker Memorial,Temple,1860,2,3.8,10,Yes,Wednesday,Environmental,No,1.1,Morning
381,Western,Maharashtra,Mumbai,Garcia-Donovan Museum,Zoo,1971,3,4.4,0,Yes,Wednesday,Architectural,Yes,1.7,Afternoon
382,Central,Madhya Pradesh,Bhopal,"Jackson, Ellis and Howell Temple",Hill Station,1800,1,4.9,10,Yes,Thursday,Natural,Yes,4.7,Evening
383,Central,Madhya Pradesh,Bhopal,Jarvis-Gonzalez Temple,Temple,1923,3,4.6,30,Yes,Saturday,Natural,No,4.9,Evening
384,Western,Rajasthan,Jaipur,"Jordan, Hanna and Matthews Temple",War Memorial,1561,4,4.5,50,No,Friday,Religious,Yes,2.1,Evening
385,Central,Madhya Pradesh,Bhopal,Thornton-Rodriguez Memorial,Fort,1533,4,3.9,0,Yes,Sunday,Architectural,No,0.7,Morning
386,Western,Maharashtra,Mumbai,Haley and Sons Fort,Temple,1737,5,4.5,10,Yes,Monday,Cultural,Yes,4,Morning
387,North-Eastern,Assam,Guwahati,Cummings and Sons Fort,Zoo,1824,2,5,0,Yes,Thursday,Cultural,Yes,4.2,Morning
388,Central,Madhya Pradesh,Bhopal,Moore-Wagner Temple,Tomb,1738,5,3.8,0,Yes,Wednesday,Natural,No,4.5,Morning
389,Eastern,Odisha,Bhubaneswar,Rodriguez-Smith Temple,War Memorial,1858,3,4.8,20,Yes,Monday,Environmental,Yes,4.5,Summer
390,North-Eastern,Assam,Guwahati,"Parsons, Brooks and Scott Temple",Tomb,1977,1,4.3,20,Yes,Tuesday,Natural,No,3.8,Evening
391,Eastern,West Bengal,Kolkata,Garcia-Rocha Park,Museum,1523,3,3.6,50,Yes,Sunday,Historical,No,1.4,Afternoon
392,Eastern,West Bengal,Kolkata,Garcia LLC Museum,War Memorial,1508,3,4.6,100,Yes,Friday,Cultural,Yes,2.3,Winter
393,Southern,Tamil Nadu,Chennai,Morgan-Shaw Memorial,Theme Park,2010,5,3.6,100,Yes,None,Religious,Yes,1.9,Winter
394,Southern,Kerala,Kochi,Martinez-Kelly Fort,Zoo,1557,4,4.6,10,Yes,Saturday,Environmental,No,3.7,Afternoon
395,Eastern,Odisha,Bhubaneswar,"Crawford, Franklin and Morton Fort",Museum,1973,3,3.6,0,Yes,Saturday,Natural,No,2,Afternoon
396,Western,Gujarat,Ahmedabad,"Mcdaniel, Huff and Taylor Museum",Temple,1571,5,4,30,No,None,Cultural,No,2.3,Afternoon
397,Southern,Kerala,Kochi,Rocha and Sons Memorial,Theme Park,1709,6,4.6,0,Yes,Sunday,Historical,No,3.9,Afternoon
398,Southern,Kerala,Kochi,Myers-Brown Fort,Theme Park,1996,4,3.5,20,Yes,Monday,Religious,Yes,1.5,Winter
399,Northern,Delhi,Delhi,Banks Ltd Fort,Fort,1797,3,4.1,20,Yes,Tuesday,Religious,Yes,4.7,Winter
400,Northern,Punjab,Amritsar,"Rodriguez, Jones and Ramirez Temple",Sanctuary,1931,6,4.6,100,Yes,Friday,Architectural,No,2.1,Summer
401,Western,Gujarat,Ahmedabad,Martinez-Poole Fort,Sanctuary,1709,5,4,20,Yes,Tuesday,Cultural,Yes,4,Afternoon
402,Western,Maharashtra,Mumbai,Hebert PLC Memorial,Fort,1588,4,4,10,Yes,Wednesday,Historical,No,4.9,Summer
403,Western,Rajasthan,Jaipur,"Rubio, Harris and Cordova Fort",Hill Station,2017,3,4.9,20,Yes,None,Natural,No,0.7,Winter
404,Central,Madhya Pradesh,Bhopal,Rodriguez and Sons Fort,Sanctuary,1633,3,3.8,30,Yes,None,Architectural,Yes,4.6,Summer
405,North-Eastern,Meghalaya,Shillong,"Sanchez, Hill and Anderson Memorial",Lake,1739,4,4.7,30,Yes,Wednesday,Historical,Yes,0.3,Evening
406,Eastern,Odisha,Bhubaneswar,Martin Ltd Memorial,Theme Park,1847,6,3.7,20,Yes,Tuesday,Historical,No,0,Afternoon
407,Western,Gujarat,Ahmedabad,"Hurst, Thompson and Briggs Fort",Temple,1993,2,4.4,10,Yes,Tuesday,Historical,Yes,1.6,Summer
408,Western,Rajasthan,Jaipur,"Wallace, Choi and Gillespie Park",Tomb,1857,3,3.7,10,Yes,Tuesday,Architectural,No,0.4,Morning
409,Western,Gujarat,Ahmedabad,"Bowman, Moore and Conner Memorial",Lake,1775,1,4.9,100,Yes,Wednesday,Natural,No,4.7,Evening
410,Northern,Punjab,Amritsar,"Booth, Moore and Kelly Park",Fort,1997,6,4,0,Yes,Friday,Religious,No,0.1,Winter
411,Central,Madhya Pradesh,Bhopal,"Shea, Gill and Olson Museum",War Memorial,1822,4,4.9,10,Yes,Tuesday,Cultural,No,1.4,Winter
412,Northern,Delhi,Delhi,Donovan-Sanchez Memorial,Theme Park,1666,5,4.5,50,Yes,Saturday,Environmental,Yes,1.8,Afternoon
413,Central,Madhya Pradesh,Bhopal,"Wells, Santiago and Odom Museum",Fort,1994,5,3.5,100,Yes,Tuesday,Architectural,Yes,2.5,Evening
414,Western,Maharashtra,Mumbai,"Gray, Morse and Lawrence Memorial",Lake,1647,1,4.8,100,Yes,Friday,Architectural,No,1.3,Winter
415,Northern,Delhi,Delhi,Roberts-Baker Museum,Hill Station,1573,5,3.6,100,Yes,Sunday,Religious,Yes,4.4,Afternoon
416,Central,Madhya Pradesh,Bhopal,King Group Museum,Sanctuary,1592,2,4.3,20,Yes,Wednesday,Natural,Yes,4.5,Afternoon
417,Central,Madhya Pradesh,Bhopal,"Miller, Howard and Ramos Temple",Fort,2021,3,4,0,Yes,Sunday,Environmental,No,4,Morning
418,Northern,Punjab,Amritsar,Thomas-Nelson Memorial,Zoo,1592,1,3.8,30,Yes,Tuesday,Natural,Yes,3.7,Winter
419,Eastern,Odisha,Bhubaneswar,Rivera-Mcfarland Fort,Hill Station,1521,1,3.8,10,Yes,Sunday,Historical,Yes,2.8,Morning
420,Southern,Karnataka,Bengaluru,Gordon-Austin Park,War Memorial,1512,1,4.1,0,Yes,None,Natural,No,4.7,Afternoon
421,Eastern,West Bengal,Kolkata,Smith Group Memorial,Hill Station,1755,4,4.6,30,Yes,Monday,Cultural,Yes,4.1,Summer
422,Eastern,Odisha,Bhubaneswar,Reyes Group Park,Lake,1694,3,3.9,100,Yes,Wednesday,Environmental,No,0.7,Morning
423,Eastern,Odisha,Bhubaneswar,Holmes Inc Memorial,Tomb,1874,6,4.9,0,Yes,Monday,Cultural,Yes,3.5,Morning
424,Central,Madhya Pradesh,Bhopal,Ward-Wagner Temple,Zoo,1791,4,3.6,100,Yes,Tuesday,Architectural,Yes,0.2,Summer
425,Northern,Uttar Pradesh,Agra,Tate-Henderson Fort,Sanctuary,1646,2,4.4,20,Yes,None,Cultural,Yes,0.9,Afternoon
426,Eastern,West Bengal,Kolkata,Marsh-Sharp Memorial,Theme Park,1781,6,5,50,Yes,None,Religious,No,4.1,Summer
427,Southern,Karnataka,Bengaluru,"Reed, Thompson and Walters Museum",Fort,1502,2,3.6,10,Yes,Thursday,Environmental,Yes,1.8,Winter
428,Southern,Tamil Nadu,Chennai,Snyder-Spencer Park,Hill Station,1595,1,3.5,10,Yes,Wednesday,Architectural,Yes,2.4,Afternoon
429,North-Eastern,Assam,Guwahati,"Garcia, Roberts and Love Park",Fort,1580,6,3.9,100,Yes,Saturday,Environmental,Yes,3.3,Winter
430,Eastern,Odisha,Bhubaneswar,"Washington, Cain and Nguyen Fort",Zoo,1740,2,3.7,30,Yes,Monday,Natural,No,4.4,Summer
431,Central,Madhya Pradesh,Bhopal,Mcbride Inc Memorial,Lake,1589,1,4,50,Yes,Monday,Environmental,No,0.7,Winter
432,Southern,Kerala,Kochi,Wong LLC Temple,War Memorial,1578,5,4.7,100,Yes,Thursday,Architectural,No,4.5,Afternoon
433,Western,Rajasthan,Jaipur,Pearson and Sons Temple,Theme Park,1545,4,4.7,30,Yes,Sunday,Natural,Yes,4.2,Winter
434,Southern,Tamil Nadu,Chennai,Green Inc Fort,Theme Park,1540,5,3.9,30,Yes,Saturday,Architectural,No,3.8,Morning
435,Eastern,West Bengal,Kolkata,"Phillips, Charles and Mitchell Temple",Lake,1941,6,4.3,50,Yes,None,Historical,No,2.4,Afternoon
436,North-Eastern,Assam,Guwahati,Welch-Sutton Museum,Theme Park,1967,3,4.7,10,Yes,Friday,Natural,Yes,0.8,Evening
437,North-Eastern,Meghalaya,Shillong,Madden PLC Memorial,Sanctuary,1741,4,5,20,Yes,Tuesday,Religious,Yes,2.8,Evening
438,Western,Rajasthan,Jaipur,Hall-Allen Museum,Sanctuary,1514,4,4.1,50,Yes,Thursday,Architectural,Yes,3.4,Summer
439,Southern,Tamil Nadu,Chennai,Fernandez PLC Memorial,Fort,1614,6,4.1,50,Yes,Tuesday,Natural,Yes,3,Afternoon
440,Eastern,West Bengal,Kolkata,Hunt LLC Fort,Temple,1569,6,4.2,20,Yes,Saturday,Cultural,No,2.4,Summer
441,Southern,Tamil Nadu,Chennai,Gamble-Wise Fort,Lake,1853,3,4.7,50,Yes,Saturday,Historical,No,1.6,Evening
442,North-Eastern,Meghalaya,Shillong,Smith PLC Temple,War Memorial,1838,6,4.7,10,Yes,Friday,Historical,No,1.9,Morning
443,North-Eastern,Meghalaya,Shillong,Nelson and Sons Fort,Lake,1809,2,4.1,50,No,Friday,Cultural,Yes,4.6,Morning
444,Eastern,Odisha,Bhubaneswar,Ross and Sons Memorial,Hill Station,1932,1,3.6,100,Yes,Wednesday,Cultural,No,0.1,Winter
445,Central,Madhya Pradesh,Bhopal,Barrett Ltd Temple,Theme Park,1903,2,4.7,100,No,Wednesday,Historical,Yes,2.8,Afternoon
446,Southern,Kerala,Kochi,"Robinson, King and Scott Museum",Tomb,1860,2,4.7,10,Yes,None,Environmental,Yes,3.1,Winter
447,Central,Madhya Pradesh,Bhopal,Allen-Adams Fort,Tomb,1628,5,4.3,50,Yes,Tuesday,Cultural,No,2.5,Winter
448,North-Eastern,Assam,Guwahati,Wright-Barron Museum,Hill Station,1553,6,3.7,10,Yes,Wednesday,Cultural,Yes,3.9,Afternoon
449,North-Eastern,Meghalaya,Shillong,Morse Inc Memorial,Temple,1581,3,3.8,50,Yes,Saturday,Architectural,No,0.7,Afternoon
450,Southern,Karnataka,Bengaluru,"Curry, Hendricks and Proctor Fort",Temple,1615,6,4.1,10,Yes,Sunday,Historical,Yes,2.6,Winter
451,North-Eastern,Assam,Guwahati,Oliver-Evans Temple,Zoo,1718,2,3.9,10,Yes,Thursday,Religious,Yes,1.4,Summer
452,North-Eastern,Meghalaya,Shillong,Allen and Sons Museum,Lake,1909,6,3.8,50,Yes,Saturday,Religious,Yes,3,Afternoon
453,Central,Madhya Pradesh,Bhopal,Medina-Andrade Museum,Museum,1955,2,4.5,10,Yes,Friday,Religious,Yes,1.1,Summer
454,North-Eastern,Meghalaya,Shillong,Turner PLC Fort,Hill Station,1899,4,4.6,20,Yes,Friday,Religious,No,0.1,Afternoon
455,Eastern,Odisha,Bhubaneswar,"Boyer, Miller and Lopez Fort",Museum,1586,3,3.7,10,Yes,Sunday,Natural,No,2.9,Evening
456,Southern,Tamil Nadu,Chennai,Davidson LLC Temple,War Memorial,1968,6,4.7,0,Yes,Tuesday,Architectural,No,1.6,Evening
457,Southern,Karnataka,Bengaluru,Gonzales LLC Memorial,Tomb,1623,3,4.9,30,Yes,Wednesday,Religious,No,4.8,Morning
458,Northern,Punjab,Amritsar,Kennedy Ltd Memorial,Tomb,1782,6,4,30,Yes,Wednesday,Natural,Yes,3.5,Winter
459,Northern,Delhi,Delhi,Rich-Mckay Museum,Lake,1683,2,3.5,100,Yes,Saturday,Environmental,No,3.3,Evening
460,Central,Madhya Pradesh,Bhopal,"Smith, White and Perkins Museum",Temple,1938,3,4.3,100,Yes,Friday,Environmental,Yes,2.1,Afternoon
461,Western,Gujarat,Ahmedabad,Brown-Moody Fort,Sanctuary,1848,6,3.8,50,Yes,Saturday,Cultural,Yes,1.8,Morning
462,Northern,Punjab,Amritsar,Howell Inc Memorial,Museum,1716,2,3.7,50,Yes,Monday,Cultural,No,2.8,Winter
463,Southern,Kerala,Kochi,Hughes Group Memorial,Fort,1695,4,4.5,100,No,Monday,Religious,No,0.7,Summer
464,Eastern,West Bengal,Kolkata,Stevens PLC Fort,Lake,1955,1,3.9,100,No,Thursday,Cultural,Yes,4.2,Summer
465,North-Eastern,Meghalaya,Shillong,"Jones, Oconnor and Aguirre Memorial",Sanctuary,1821,1,4.4,30,Yes,None,Cultural,Yes,2.3,Summer
466,North-Eastern,Meghalaya,Shillong,"Kim, Ware and Hughes Museum",Theme Park,1979,5,3.6,100,No,None,Environmental,Yes,1.6,Winter
467,Western,Rajasthan,Jaipur,"Pennington, Frey and Burton Museum",Temple,1849,3,3.8,30,Yes,None,Historical,Yes,1.3,Morning
468,Northern,Punjab,Amritsar,Cook-Murillo Fort,War Memorial,1671,5,4.3,10,Yes,Friday,Environmental,Yes,3.8,Afternoon
469,Central,Madhya Pradesh,Bhopal,Thomas-Harris Museum,Fort,1799,6,3.7,20,Yes,None,Environmental,No,4.8,Morning
470,Western,Gujarat,Ahmedabad,Gomez-Stanley Temple,Lake,1630,3,3.7,0,Yes,Tuesday,Environmental,Yes,4.8,Summer
471,Eastern,West Bengal,Kolkata,"Jackson, Waters and Barton Temple",Theme Park,1957,2,3.8,30,Yes,Tuesday,Natural,Yes,2.2,Evening
472,Eastern,West Bengal,Kolkata,"Thompson, White and Davidson Fort",Theme Park,1816,2,4.2,100,Yes,None,Historical,Yes,4.8,Summer
473,Central,Madhya Pradesh,Bhopal,Moses Ltd Fort,War Memorial,1621,2,4.4,50,Yes,Wednesday,Historical,No,3.9,Morning
474,Western,Gujarat,Ahmedabad,"Bates, Sanchez and Warner Park",Temple,1716,6,4.2,100,Yes,Monday,Environmental,Yes,1.3,Afternoon
475,Northern,Delhi,Delhi,"Garcia, Smith and Bridges Park",Hill Station,1887,6,3.9,30,No,Thursday,Environmental,No,4.3,Winter
476,Southern,Tamil Nadu,Chennai,Santos LLC Temple,Tomb,1649,2,3.7,10,Yes,None,Religious,No,4.1,Afternoon
477,Southern,Tamil Nadu,Chennai,Bowers PLC Temple,Tomb,1852,3,3.7,50,Yes,Wednesday,Architectural,No,3.8,Evening
478,Western,Gujarat,Ahmedabad,Smith-Harmon Museum,Hill Station,1750,4,4.9,100,Yes,None,Environmental,Yes,0.8,Evening
479,Western,Rajasthan,Jaipur,Shah Ltd Memorial,Temple,1551,5,3.6,20,Yes,Friday,Architectural,Yes,0.7,Morning
480,Central,Madhya Pradesh,Bhopal,Klein Ltd Temple,Hill Station,1993,2,3.8,20,Yes,Friday,Religious,Yes,3.7,Winter
481,Central,Madhya Pradesh,Bhopal,Flynn-Dodson Memorial,Tomb,1911,3,4.7,50,Yes,Thursday,Historical,No,1.6,Evening
482,North-Eastern,Assam,Guwahati,"Simmons, Gillespie and Hayes Memorial",Lake,1567,5,4.8,100,Yes,Friday,Natural,No,2.9,Evening
483,Eastern,West Bengal,Kolkata,Friedman PLC Temple,Zoo,1638,3,3.9,20,No,Thursday,Environmental,No,3.9,Winter
484,Southern,Kerala,Kochi,Brown-Smith Museum,Sanctuary,1556,4,4.9,20,Yes,None,Architectural,No,4.4,Summer
485,Eastern,West Bengal,Kolkata,"Green, Ball and Jones Fort",Temple,1610,3,4.2,0,Yes,Monday,Environmental,No,4.8,Afternoon
486,Central,Madhya Pradesh,Bhopal,"Hunter, Harmon and Arnold Fort",Fort,2003,6,3.5,50,No,Wednesday,Natural,Yes,1.3,Evening
487,Northern,Punjab,Amritsar,Cole Inc Museum,Fort,1604,2,3.9,100,Yes,None,Religious,Yes,5,Summer
488,Northern,Delhi,Delhi,Evans-Miller Fort,Museum,1874,1,4.3,30,Yes,None,Cultural,Yes,0.9,Evening
489,Eastern,West Bengal,Kolkata,"Herrera, Thomas and Elliott Museum",Zoo,1572,1,4,100,No,Friday,Architectural,Yes,2.9,Summer
490,North-Eastern,Assam,Guwahati,Chaney Group Museum,Hill Station,1711,5,4,30,Yes,Tuesday,Architectural,Yes,3.3,Winter
491,Central,Madhya Pradesh,Bhopal,Arias PLC Fort,Fort,1889,4,4.6,100,Yes,Wednesday,Environmental,Yes,4.2,Morning
492,North-Eastern,Assam,Guwahati,"Barrett, Gutierrez and Thompson Fort",War Memorial,1660,3,4.2,100,Yes,Friday,Historical,No,3.6,Winter
493,Eastern,West Bengal,Kolkata,Mcintyre Ltd Fort,Fort,2022,6,3.5,100,No,Thursday,Natural,No,3.2,Afternoon
494,Northern,Delhi,Delhi,Schneider-Tanner Museum,Theme Park,1962,2,4.8,0,Yes,None,Architectural,Yes,3,Evening
495,Southern,Tamil Nadu,Chennai,Curtis-Lambert Fort,Museum,1800,1,4.9,20,Yes,Monday,Architectural,No,0.5,Afternoon
496,North-Eastern,Assam,Guwahati,Smith-May Fort,Tomb,1839,4,4.2,100,No,None,Religious,Yes,1.1,Morning
497,North-Eastern,Assam,Guwahati,"Boone, Walton and Riley Memorial",War Memorial,1680,5,4.3,100,Yes,Thursday,Religious,Yes,4.7,Afternoon
498,Southern,Kerala,Kochi,"Crosby, Thompson and Evans Park",War Memorial,1731,3,4.9,50,Yes,Monday,Cultural,No,3.5,Morning
499,Southern,Tamil Nadu,Chennai,Stewart-Johnson Memorial,Lake,1832,1,4.4,20,Yes,Wednesday,Cultural,No,3.8,Summer
500,Eastern,Odisha,Bhubaneswar,Harvey LLC Memorial,Fort,1503,3,4.7,0,Yes,Friday,Architectural,Yes,4.3,Evening
501,Northern,Uttar Pradesh,Agra,Manning Inc Temple,Temple,1943,4,4.1,20,Yes,Tuesday,Religious,Yes,3.4,Morning
502,North-Eastern,Assam,Guwahati,Garza PLC Fort,Hill Station,1546,1,3.8,30,Yes,Wednesday,Natural,Yes,0.3,Morning
503,Western,Rajasthan,Jaipur,"Price, Jennings and Ingram Fort",War Memorial,1963,5,4.1,50,Yes,Monday,Natural,Yes,4.5,Winter
504,Western,Maharashtra,Mumbai,"Howard, Powell and Glover Temple",Zoo,1674,6,4.7,20,Yes,Monday,Historical,Yes,4.8,Winter
505,North-Eastern,Meghalaya,Shillong,Campbell Group Memorial,Tomb,1818,3,4.1,10,No,None,Cultural,No,1.7,Summer
506,North-Eastern,Assam,Guwahati,"Pham, Turner and Scott Memorial",Museum,1844,1,3.5,0,Yes,Sunday,Religious,No,4.6,Summer
507,North-Eastern,Meghalaya,Shillong,Alvarez-Singleton Museum,Fort,1686,1,3.6,50,Yes,Friday,Architectural,No,0.3,Summer
508,Northern,Uttar Pradesh,Agra,Lynch Group Fort,Museum,1518,4,4.5,30,No,None,Cultural,No,3.6,Morning
509,Eastern,West Bengal,Kolkata,"Murray, Mayer and Gonzales Memorial",Museum,1962,6,4.8,100,Yes,Thursday,Historical,No,0.3,Afternoon
510,Eastern,West Bengal,Kolkata,"Kim, Andrews and Murphy Temple",Zoo,1591,3,4,0,Yes,Friday,Historical,Yes,3.9,Afternoon
511,Eastern,West Bengal,Kolkata,Moody-Brown Temple,Temple,1936,1,3.6,20,Yes,Saturday,Cultural,Yes,1.2,Afternoon
512,Northern,Uttar Pradesh,Agra,Simmons and Sons Park,Hill Station,1901,6,4.3,100,Yes,Wednesday,Cultural,No,4.5,Morning
513,Central,Madhya Pradesh,Bhopal,Garza-Proctor Park,Temple,2011,5,4.1,30,Yes,Monday,Natural,No,3.6,Afternoon
514,Central,Madhya Pradesh,Bhopal,Bennett-Burke Museum,Temple,1893,6,4,50,Yes,Wednesday,Historical,Yes,1.9,Summer
515,Western,Rajasthan,Jaipur,"Knox, Russell and Walker Memorial",War Memorial,1763,4,4.8,50,Yes,Friday,Historical,No,4.1,Afternoon
516,Northern,Delhi,Delhi,Smith-Lopez Park,Sanctuary,1851,3,4.1,30,Yes,Saturday,Architectural,No,3.7,Evening
517,Western,Gujarat,Ahmedabad,Ford-King Fort,Sanctuary,2003,2,4.5,0,Yes,Saturday,Cultural,No,4.3,Afternoon
518,Central,Madhya Pradesh,Bhopal,Mcfarland-Harrison Park,Tomb,1530,3,4.9,50,Yes,Monday,Architectural,No,4,Afternoon
519,Southern,Tamil Nadu,Chennai,Reyes-Ross Temple,Museum,1917,4,5,0,Yes,Thursday,Architectural,No,0.5,Winter
520,Southern,Kerala,Kochi,"Martinez, Thomas and Diaz Fort",Theme Park,1577,3,3.6,100,Yes,Tuesday,Historical,No,0.2,Morning
521,North-Eastern,Meghalaya,Shillong,White Ltd Memorial,Theme Park,1760,1,3.5,20,No,Wednesday,Religious,Yes,4.1,Evening
522,Northern,Uttar Pradesh,Agra,Kelly Ltd Museum,Sanctuary,1968,6,3.7,20,Yes,Saturday,Cultural,No,1.8,Winter
523,Eastern,West Bengal,Kolkata,Wheeler-Boyd Temple,Fort,1713,3,4.2,20,Yes,Monday,Cultural,No,1.9,Winter
524,North-Eastern,Assam,Guwahati,"Mendez, Evans and Cox Memorial",Museum,1705,4,4.9,50,Yes,None,Historical,Yes,3.9,Winter
525,Eastern,West Bengal,Kolkata,Jenkins PLC Memorial,Tomb,2002,4,3.5,20,Yes,Saturday,Natural,No,2.3,Evening
526,Eastern,Odisha,Bhubaneswar,White-Butler Fort,Sanctuary,1974,6,4,20,Yes,Sunday,Historical,No,3.9,Afternoon
527,North-Eastern,Assam,Guwahati,"Flores, Sellers and Walker Fort",Sanctuary,1852,2,4.8,20,Yes,Thursday,Religious,No,4.6,Morning
528,Southern,Tamil Nadu,Chennai,Taylor-Johns Fort,Sanctuary,1831,1,4.9,0,No,Friday,Natural,No,3.9,Evening
529,Central,Madhya Pradesh,Bhopal,Ryan Inc Museum,Theme Park,2012,1,4.3,50,Yes,None,Cultural,No,4,Summer
530,Eastern,West Bengal,Kolkata,Walsh-Quinn Memorial,Theme Park,1864,5,4.4,100,Yes,Saturday,Natural,Yes,3.3,Evening
531,Central,Madhya Pradesh,Bhopal,Proctor and Sons Temple,Fort,1540,2,3.8,50,Yes,Saturday,Natural,No,3.4,Morning
532,Northern,Delhi,Delhi,Stewart-Brooks Museum,Lake,1506,3,4.1,0,Yes,Wednesday,Cultural,Yes,0.4,Summer
533,North-Eastern,Assam,Guwahati,Miller-Colon Park,Zoo,1874,6,4.8,30,Yes,Sunday,Environmental,Yes,4.8,Summer
534,Northern,Uttar Pradesh,Agra,Brown-Kramer Memorial,Zoo,1987,2,4.2,30,Yes,Friday,Architectural,Yes,3,Morning
535,Central,Madhya Pradesh,Bhopal,"Edwards, Pena and Shaw Temple",Museum,1594,4,4.8,50,Yes,Sunday,Religious,No,3,Evening
536,Northern,Uttar Pradesh,Agra,Prince-Gomez Fort,Tomb,1701,1,4.7,30,Yes,None,Religious,No,1.7,Morning
537,Central,Madhya Pradesh,Bhopal,"Thomas, Palmer and Bowen Park",Sanctuary,1934,4,4,0,Yes,Wednesday,Historical,Yes,1,Afternoon
538,Southern,Tamil Nadu,Chennai,Jones Inc Memorial,Temple,1872,6,3.5,20,Yes,Friday,Environmental,Yes,1.3,Winter
539,North-Eastern,Assam,Guwahati,Robinson-Myers Museum,Sanctuary,1908,3,4.8,100,Yes,Thursday,Architectural,Yes,0.9,Summer
540,Southern,Tamil Nadu,Chennai,Green Inc Memorial,Zoo,1758,1,3.7,20,Yes,Sunday,Architectural,Yes,4,Morning
541,Eastern,Odisha,Bhubaneswar,"Fields, Barber and Clarke Memorial",Temple,1844,5,3.6,50,No,Friday,Environmental,No,2.3,Evening
542,Southern,Karnataka,Bengaluru,Diaz-Guzman Park,Theme Park,1607,3,4.1,50,Yes,Monday,Historical,Yes,0.2,Evening
543,Northern,Punjab,Amritsar,"Clarke, Beard and Gregory Temple",Sanctuary,1948,3,4,0,Yes,Thursday,Architectural,Yes,1.2,Summer
544,Southern,Tamil Nadu,Chennai,"Todd, Jones and Clark Park",Museum,2020,2,4.6,10,No,Saturday,Religious,No,0.8,Morning
545,Western,Maharashtra,Mumbai,"Garza, Krueger and Ward Park",Museum,1887,6,4.5,30,No,Tuesday,Historical,Yes,0.8,Morning
546,Southern,Tamil Nadu,Chennai,"Miller, Schwartz and Fletcher Fort",Tomb,1721,4,4.9,0,Yes,Wednesday,Historical,Yes,3.5,Morning
547,Eastern,West Bengal,Kolkata,"Nelson, Elliott and Myers Fort",Museum,1910,5,4.7,50,Yes,Monday,Natural,No,0.4,Evening
548,Northern,Uttar Pradesh,Agra,Hale Group Fort,Theme Park,1592,5,4.1,0,Yes,None,Historical,No,3.2,Winter
549,Southern,Kerala,Kochi,Lara-Russell Museum,Sanctuary,1883,5,4.2,100,Yes,Tuesday,Architectural,Yes,2.2,Afternoon
550,Western,Maharashtra,Mumbai,"Nguyen, Lyons and Johnson Temple",Fort,1717,3,4.7,20,Yes,Thursday,Cultural,Yes,4,Evening
551,Northern,Punjab,Amritsar,Little-Burnett Memorial,Temple,1674,4,4.3,50,Yes,Wednesday,Cultural,No,4.9,Morning
552,Western,Rajasthan,Jaipur,Mccoy Group Fort,Sanctuary,1787,1,3.7,0,No,Tuesday,Environmental,No,2.8,Evening
553,North-Eastern,Meghalaya,Shillong,"Anderson, Lee and Galloway Memorial",Fort,1776,4,5,10,Yes,Wednesday,Environmental,No,1.3,Summer
554,Central,Madhya Pradesh,Bhopal,"Mathews, Floyd and Larson Memorial",Theme Park,1712,2,4.9,100,Yes,Monday,Religious,Yes,4.8,Summer
555,Eastern,Odisha,Bhubaneswar,"Johnson, Sharp and Smith Memorial",Lake,1908,2,3.8,10,Yes,Sunday,Historical,Yes,5,Summer
556,Western,Gujarat,Ahmedabad,Khan-Sexton Temple,Museum,1684,5,4.2,20,No,Saturday,Environmental,No,1,Summer
557,Central,Madhya Pradesh,Bhopal,Mendez-Poole Temple,Tomb,1756,1,3.9,0,Yes,Wednesday,Cultural,Yes,2.3,Summer
558,Western,Rajasthan,Jaipur,"Floyd, Johnson and Roy Memorial",Fort,1772,1,4.6,50,Yes,Thursday,Environmental,Yes,5,Afternoon
559,Southern,Kerala,Kochi,Medina and Sons Memorial,Fort,1721,3,4.6,20,Yes,Saturday,Environmental,No,3.5,Summer
560,North-Eastern,Meghalaya,Shillong,Martin-Crawford Temple,Museum,1983,4,3.7,50,Yes,None,Religious,Yes,4.7,Winter
561,Southern,Karnataka,Bengaluru,"Lowe, Barber and Rivas Park",Hill Station,1636,4,3.7,10,Yes,Tuesday,Historical,No,2.5,Afternoon
562,Central,Madhya Pradesh,Bhopal,Dominguez-Morris Museum,Theme Park,1705,4,4.2,30,Yes,Sunday,Architectural,Yes,1,Summer
563,Northern,Delhi,Delhi,Colon-Macias Park,Zoo,1890,6,4.1,50,Yes,Tuesday,Cultural,Yes,1.2,Afternoon
564,North-Eastern,Assam,Guwahati,Martin-Morse Fort,Theme Park,1658,4,4.5,10,Yes,Tuesday,Historical,Yes,1.6,Winter
565,North-Eastern,Assam,Guwahati,Wright-Patterson Temple,Sanctuary,1993,6,4.7,30,Yes,Thursday,Environmental,Yes,1.9,Afternoon
566,Eastern,West Bengal,Kolkata,"Mcbride, Johnson and Nunez Museum",Tomb,1572,3,4.1,30,Yes,Wednesday,Architectural,No,4.3,Summer
567,North-Eastern,Meghalaya,Shillong,"Ramsey, Carrillo and Cox Park",Zoo,1820,2,3.6,20,No,Sunday,Natural,No,3.9,Summer
568,Western,Gujarat,Ahmedabad,Thompson LLC Museum,Hill Station,1952,2,5,100,Yes,Thursday,Natural,Yes,1.5,Afternoon
569,Eastern,Odisha,Bhubaneswar,Clark Ltd Temple,Lake,1691,1,4.6,0,Yes,Thursday,Natural,No,1.1,Summer
